raw_affiliation_string,to remove
"Department of Orthopedic Surgery, Medical University Annastift Hanover, Hanover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Orthopedic Surgery, Medical University Annastift, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Orthopedic Surgery, Sports Traumatology and Trauma Surgery, Staedtisches Klinikum Wolfenbuettel, Alter Weg 80, 38302, Wolfenbuettel, Germany. Imke.Schmerwitz@khwf.de",Ostfalia Hochschule für angewandte Wissenschaften
"Department of Orthopedic and Trauma Surgery, Diakovere Friederikenstift and Henriettensift, Hannover, Germany. Electronic address: Rony@Deyhazra.de",Stiftung Tierärztliche Hochschule Hannover
"Department of Orthopedic and Trauma Surgery, Diakovere Friederikenstift and Henriettensift, Humboldtstraße 5, 30169, Hannover, Germany. Rony@Deyhazra.de",Stiftung Tierärztliche Hochschule Hannover
"Department of Otolaryngology, Helios Clinic Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Department of Otolaryngology, Helios Clinic Hildesheim, Hildesheim, Germany. Electronic address: markus.pietsch@helios-gesundheit.de",Stiftung Universität Hildesheim
"Department of Otolaryngology, Helios Clinic Hildesheim, Hildesheim, Germany. markus.pietsch@helios-gesundheit.de",Stiftung Universität Hildesheim
Department of Otorhinolaryngology Helios Hospital Hildesheim  Hildesheim Germany,Stiftung Universität Hildesheim
"Department of Otorhinolaryngology, Head and Neck Surgery, University Medical Center Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Department of Otorhinolaryngology, Helios Hospital Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Department of Paediatrics, Hannover Medical School",Medizinische Hochschule Hannover (MHH)
"Department of Pathology and Medical Biology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pathology, Clinical Center Osnabrueck, 49076 Osnabrueck, Germany",Universität Osnabrück
"Department of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",Universität Osnabrück
"Department of Pathology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Pathology, University of Veterinary Medicine, Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover
Department of Pediatric Cardiology Hannover Medical School Hannover Germany,Medizinische Hochschule Hannover (MHH)
"Department of Pediatric Cardiology and Intensive Care Medicine, Medical School Hannover, Hannover, Deutschland",Medizinische Hochschule Hannover (MHH)
"Department of Pediatric Hematology and Oncology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Pediatric Intensive Care, Pediatric Cardiology, Pediatric Pulmonology and Allergology, Pediatric University Hospital Oldenburg (Lange, Hamel, Heep)",Carl von Ossietzky Universität Oldenburg
"Department of Pediatric Kidney, Liver and Metabolic Diseases, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Pediatric Neurology, University Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pediatric Oncology and Hematology, University Children's Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pediatric Oncology, University Children's Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
Department of Pediatric Pneumology and Allergology University Hospital  Oldenburg Germany,Carl von Ossietzky Universität Oldenburg
"Department of Pediatric Pneumology and Allergology, University Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pediatric Surgery, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Department of Pediatrics University Medical Center Hanover Hanover Germany,Medizinische Hochschule Hannover (MHH)
"Department of Pediatrics and Adolescent Medicine, Division of Pediatric Neurology, University Medical Center Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Department of Pediatrics and Adolescent Medicine, University Medical Centre Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Department of Pediatrics and Pediatric Hematology/Oncology, University Children's Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pediatrics and Pediatric Hematology/Oncology, University Children’s Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pediatrics, Ped Mind Institute, Hindenburgring 4, D-48599 Gronau, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pediatrics, University Medical Center Hanover, Hanover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Pharmacology, Toxicology and Clinical Pharmacy University of Braunschweig - Institute of Technology, Germany",Technische Universität Braunschweig
"Department of Pharmacology, Toxicology and Clinical Pharmacy, University of Braunschweig - Institute of Technology, Germany",Technische Universität Braunschweig
"Department of Pharmacology, Toxicology and Clinical Pharmacy, University of Braunschweig – Institute of Technology, Germany",Technische Universität Braunschweig
"Department of Pharmacology, Toxicology and Pharmacy, University of Veterinary Medicine Hannover, Foundation, Hannover, Germany;",Stiftung Tierärztliche Hochschule Hannover
"Department of Pharmacology, Toxicology, and Pharmacy, University of Veterinary Medicine Hannover, Germany; Center for Systems Neuroscience Hannover, Germany; Translational Neuropharmacology Lab, NIFE, Department of Experimental Otology of the ENT Clinics, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Pharmacology, Toxicology, and Pharmacy, University of Veterinary Medicine Hannover, Germany; Center for Systems Neuroscience Hannover, Germany; Translational Neuropharmacology Lab, NIFE, Department of Experimental Otology of the ENT Clinics, Hannover Medical School, Hannover, Germany. Electronic address: Loescher.Wolfgang@mh-hannover.de",Medizinische Hochschule Hannover (MHH)
"Department of Physical Therapy and Movement Sciences, University of Applied Science Osnabrück, Albrechtstraße 30, 49076, Osnabrück, Germany",Universität Osnabrück
"Department of Physical Therapy and Movement Sciences, University of Applied Science Osnabrück, Albrechtstraße 30, 49076, Osnabrück, Germany. Electronic address: H.von-Piekartz@hs-osnabrueck.de",Universität Osnabrück
"Department of Physical Therapy and Movement Sciences, University of Applied Science Osnabrück, Albrechtstraße 30, 49076, Osnabrück, Germany. Electronic address: a.griefahn@hs-osnabrueck.de",Universität Osnabrück
"Department of Physical Therapy and Rehabilitation science, University of Applied Science Osnabruck, Germany",Hochschule Osnabrück
"Department of Physical Therapy and Rehabilitation science, University of Applied Science Osnabruck, Germany",Universität Osnabrück
"Department of Physics , University of Osnabrück , D-49069 Osnabrück , Germany",Universität Osnabrück
"Department of Physics , University of Osnabrück , Osnabrück , D-49069 , Germany",Universität Osnabrück
Department of Physics Carl von Ossietzky Universität Oldenburg  Oldenburg Germany,Carl von Ossietzky Universität Oldenburg
"Department of Physics and Center of Physics and Chemistry of New Materials, Osnabrück University, Barbarastraße 7, 49076 Osnabrück, Germany",Universität Osnabrück
"Department of Physics, Carl von Ossietzky University, Carl-von-Ossietzky Straße 9-11, 26129, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Physics, Carl von Ossietzky Universität Oldenburg, Carl-von-Ossietzky-Str. 9-11, 26129, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Physics, Carl von Ossietzky Universität Oldenburg, Carl-von-Ossietzky-Str. 9-11, D-26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Physics, Carl von Ossietzky Universität Oldenburg, Carl-von-Ossietzky-Strasse 9-11, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Physics, Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Physics, Georg-August University, Friedrich-Hund-Platz 1, 37077, Göttingen, Germany. viola.priesemann@ds.mpg.de",Georg-August-Universität Göttingen
"Department of Physics, Osnabrück University, Barbarastraße 7, 49076 Osnabrück, Germany",Universität Osnabrück
"Department of Physics, Osnabrück University, Osnabrück, Germany. armen.mulkidjanian@uni-osnabrueck.de",Hochschule Osnabrück
"Department of Physics, Physics Education Research, University of Göttingen, Friedrich-Hund-Platz 1, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Department of Physics, University of Osnabrück, 49069 Osnabrück, Germany. Electronic address: hsteinho@uni-osnabrueck.de",Hochschule Osnabrück
"Department of Physics, University of Osnabrück, D-49069 Osnabrück, Germany",Universität Osnabrück
"Department of Physiological Chemistry, University of Veterinary Medicine Hannover, Hanover, Germany",Stiftung Tierärztliche Hochschule Hannover
"Department of Physiotherapy, Faculty of Business Management and Social Sciences, Osnabrück University of Applied Sciences, Germany",Universität Osnabrück
"Department of Physiotherapy, Faculty of Business Management and Social Sciences, Osnabrück University of Applied Sciences, Germany. Electronic address: d.moeller@hs-osnabrueck.de",Universität Osnabrück
"Department of Phytomedicine, Plant Virology, Institute of Horticultural Production Systems, Leibniz University, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Department of Plant Biology, Braunschweig University of Technology, Braunschweig, Germany. Electronic address: r.mendel@tu-bs.de",Hochschule für Bildende Künste Braunschweig
"Department of Plant Breeding, University of Applied Sciences, Osnabrueck, Osnabrueck, Germany. a.naz@hs-osnabrueck.de",Universität Osnabrück
"Department of Plant Ecology and Ecosystems Research, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
Department of Plant Physiology and Protein Metabolism Lab University of Osnabruck  Osnabruck Germany,Hochschule Osnabrück
"Department of Plastic, Aesthetic and Hand Surgery, Helios Klinikum Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Department of Plastic, Aesthetic and Handsurgery, Helios Klinikum Hildesheim, Senator-Braun-Allee 33, 31135 Hildesheim",Stiftung Universität Hildesheim
"Department of Plastic, Aesthetic, Hand and Reconstructive Surgery , Helios Klinikum Hildesheim , Hildesheim , Germany",Stiftung Universität Hildesheim
"Department of Plastic, Aesthetic, Hand and Reconstructive Surgery, Hannover Medical School, Carl-Neuberg-Str. 1, 30625 Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Plastic, Reconstructive and Aesthetic Surgery, Hand Surgery, Evangelic University Hospital, Oldenburg 26122, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Pneumology and Respiratory Medicine, Helios Medical Center of Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Department of Procto-Surgery & Pilonidal Sinus, St Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Marienstraße 6, 49377, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery & Pilonidal Sinus, St Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Marienstraße 6, 49377, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery & Pilonidal Sinus, St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Marienstraße 6–8, 49377, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery & Pilonidal Sinus, St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery & Pilonidal Sinus, St. Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Marienstraße 6, 49377, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery & Pilonidal Sinus, St. Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery , St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover , Vechta , Germany",Universität Vechta
"Department of Procto-Surgery and Pilonidal Sinus Research Group, Germany, St Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery and Pilonidal Sinus Research Group, Germany, St Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Vechta, Germany. Dietrich.Doll@kk-om.de",Universität Vechta
"Department of Procto-Surgery and Pilonidal Sinus, St Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery, St. Marien-Krankenhaus Vechta, Teaching Hospital of the Hannover University, 49377 Vechta, Germany",Universität Vechta
"Department of Procto-Surgery, St. Marien-Krankenhaus Vechta, Teaching Hospital of the Hannover University, 49377, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery, St. Marien-Krankenhaus Vechta, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery, St. Marienhospital Vechta, Academic Teaching Hospital of the Hannover University, Marienstr. 6–8, 49377, Vechta, Germany",Universität Vechta
"Department of Procto-Surgery, St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Vechta, Germany",Universität Vechta
"Department of Procto‐Surgery St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover Vechta Germany",Universität Vechta
"Department of Procto‐Surgery and Pilonidal Sinus St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover  Vechta Germany",Universität Vechta
"Department of Procto‐Surgery and Pilonidal Sinus, St. Marienhospital Vechta Academic Teaching Hospital of the MHH Hannover  Vechta Germany",Universität Vechta
"Department of Procto‐Surgery, St. Marienhospital Vechta Academic Teaching Hospital of the MHH Hannover  Vechta Germany",Universität Vechta
"Department of Psychiatry and Psychotherapy, School of Medicine & Health Sciences, University Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Psychiatry and Psychotherapy, University Medical Center Goettingen, University of Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen
"Department of Psychiatry, Social Psychiatry and Psychotherapy, Hannover Medical School , Hannover , Germany",Medizinische Hochschule Hannover (MHH)
"Department of Psychiatry, Social Psychiatry and Psychotherapy, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Psychology, Division for Psychological Methods and Statistics, Carl von Ossietzky University Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Psychology, Osnabruck University",Hochschule Osnabrück
"Department of Psychology, University of Osnabrück, Artilleriestraße 34, 49076, Osnabrück, Germany",Hochschule Osnabrück
"Department of Psychology, University of Osnabrück, Knollstraße 15, Osnabrück 49088, Germany",Hochschule Osnabrück
Department of Psychosomatic Medicine and Psychotherapy University Medical Center Gӧttingen Gӧttingen Germany,Universitätsmedizin Göttingen
"Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, Hannover, DE",Medizinische Hochschule Hannover (MHH)
"Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Psychosomatic Medicine and Psychotherapy, University of Goettingen Medical Center, Göttingen, Germany",Universitätsmedizin Göttingen
"Department of Pulmonary Medicine and Infectious Diseases, Hannover University School of Medicine, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Pulmonary and Infectious Diseases, Hannover University School of Medicine, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Radiation Oncology, Medical University Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Radiation Oncology, Pius Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Radiation Oncology, University Medical Center Göttingen, Göttingen, Germany. stefan.rieken@med.uni-goettingen.de",Universitätsmedizin Göttingen
"Department of Radiology and Medical Physics, University of Veterinary Medicine Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Radiology, Helios Hospital Hildesheim , Germany",Stiftung Universität Hildesheim
"Department of Radiology, St. Marienhospital Vechta, 49377 Vechta, Germany",Universität Vechta
"Department of Radiotherapy and Radiation Oncology, Pius Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Radiotherapy and Radiation Oncology, Pius-Hospital Oldenburg, Georgstr. 12, 26121, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Radiotherapy, Pius Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Rehabilitation Medicine, Hannover Medical School (MHH), Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Respiratory Medicine, Emden Hospital, Bolardusstrasse 20, 26721, Emden, Germany. highflow@web.de",Hochschule Emden/Leer
"Department of Respiratory Medicine, Emden Hospital, Emden, Germany",Hochschule Emden/Leer
"Department of Respiratory Medicine, German Center for Lung Research, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Respiratory Medicine, Hannover Medical School, Biomedical Research in End-stage and Obstructive Lung Disease Hannover (BREATH), Member of German Centre for Lung Research (DZL), Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Respiratory Medicine, Hannover Medical School, Hannover, German Center for Lung Research (DZL), Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Respiratory Medicine, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Respiratory Medicine, Medical School Hannover and Member of the German Centre for Lung Research, Biomedical Research in End-stage and Obstructive Lung Disease Hannover (BREATH), Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Rheumatology and Clinical Immunology, Medical University Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Rheumatology and Immunology, Hannover Medical School, Carl-Neuberg-Str. 1, 30625, Hannover, Germany. tim.schmachtenberg@med.uni-goettingen.de",Medizinische Hochschule Hannover (MHH)
"Department of Rheumatology and Immunology, Medical University of Hanover, Hanover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Social Sciences, Center of Methods in Social Sciences, Georg August University Göttingen, Goßlerstraße 19, 37073, Göttingen, Germany",Georg-August-Universität Göttingen
"Department of Social Work and Health, University of Applied Sciences and Arts, 31134, Hildesheim, Germany",Stiftung Universität Hildesheim
Department of Soil Science of Temperate Ecosystems Department of Agricultural Soil Science University of Goettingen Göttingen Germany,Georg-August-Universität Göttingen
"Department of Soil Science of Temperate Ecosystems, Agricultural Soil Science, University of Goettingen, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Department of Soil Science of Temperate Ecosystems, Department of Agricultural Soil Science, University of Goettingen, Göttingen 37077, Germany",Georg-August-Universität Göttingen
"Department of Soil Science of Temperate Ecosystems, Department of Agricultural Soil Science, University of Gottingen, 37077 Gottingen, Germany",Georg-August-Universität Göttingen
"Department of Soil Science of Temperate Ecosystems, Department of Agricultural Soil Science, University of Gottingen, 37077, Gottingen, Germany",Georg-August-Universität Göttingen
"Department of Soil Science of Temperate Ecosystems, Department of Agricultural Soil Science, University of Göttingen, Göttingen, 37077, Germany",Georg-August-Universität Göttingen
"Department of Spinal Surgery, University Clinic for Neurosurgery, Evangelisches Krankenhaus, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Spinal Surgery, University Clinic for Neurosurgery, Oldenburg Evangelical Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Spine Surgery, University Clinic for Neurosurgery - Evangelisches Krankenhaus Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Structural Biology, Osnabrück University, 49076 Osnabrück, Germany",Hochschule Osnabrück
"Department of Structural Biology, University of Osnabrück, Barbarastraße 13, 49076, Osnabrück, Germany",Hochschule Osnabrück
"Department of Structural Geology and Geodynamics, Georg-August-University Göttingen, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Department of Surgery, Catholic Clinics Oldenburger Münsterland gGmbH, St. Marienhospital Vechta, Teaching Hospital of the Medizinische Hochschule Hannover, Vechta, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Surgery, Catholic Clinics Oldenburger Münsterland gGmbH, St. Marienhospital Vechta, Teaching Hospital of the Medizinische, Hochschule Hannover University, Vechta, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Surgery, St Marienhospital Vechta, Vechta, Germany",Universität Vechta
"Department of Surgery, St. Marienhospital Vechta, Academic Teaching Hospital of the Hannover University, Marienstr. 6-8, D - 49377 Vechta, Germany;",Universität Vechta
"Department of Surgery, St. Marienhospital Vechta, Vechta, Germany",Universität Vechta
"Department of Surgery, St. Marienhospital Vechta, Vechta, Germany. Electronic address: ddoll@gmx.de",Universität Vechta
"Department of Systems Neuroscience, Georg-August-Universität Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Department of Thoracic Oncology and Interventional Bronchology, Helios Medical Center of Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Department of Thoracic Surgery, Helios Klinikum Hildesheim , Hildesheim, Germany",Stiftung Universität Hildesheim
"Department of Trauma Surgery, Evangelic Hostpital Oldenburg, 26122 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Trauma and Orthopaedics, St Marienhospital Vechta, Vechta, Germany",Universität Vechta
"Department of Trauma, Orthopedic and Hand Surgery, St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Vechta, Germany",Universität Vechta
"Department of Traumatology & Orthopedic Surgery, Cath. Hospital, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Department of Tumor Immunology and Gene Therapy Center, Third Affiliated Hospital of Naval Medical University, Shanghai, 200438, China. hanzhipeng0311@126.com",Medizinische Hochschule Hannover (MHH)
Department of Urology University Medical Center Göttingen Göttingen Germany,Universitätsmedizin Göttingen
"Department of Urology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Department of Vaccinology and Applied Microbiology, Braunschweig 38124, Germany",Technische Universität Braunschweig
"Department of Wood Technology and Wood-based Composites, University of Göttingen, Büsgenweg 4, Göttingen 37077, Germany",Georg-August-Universität Göttingen
"Department of Zoology & Developmental Biology, University of Osnabrück, 49076, Osnabrück, Germany. achim.paululat@uos.de",Hochschule Osnabrück
"Department of Respiratory Medicine, Hannover Medical School",Medizinische Hochschule Hannover (MHH)
"Dept of Experimental Pneumology, Hannover School of Medicine, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Dept of Pulmonary and Infectious Diseases, Hannover University School of Medicine, Germany",Medizinische Hochschule Hannover (MHH)
"Dept. Radiotherapy, Pius Hospital Oldenburg, Oldenburg, Germany;",Carl von Ossietzky Universität Oldenburg
"Dept. Wood Technology and Wood-Based Composites, University of Göttingen, Büsgenweg 4, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Dept. of Gynecology, Helios Hospital Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Dept. of Procto-Surgery, St. Marienhospital Vechta, Vechta, Germany",Universität Vechta
Der Ursprung des Welfenhauses und seine Verzweigung in Süddeutschland. Wolfenbüttel 1899. S. 1f,Ostfalia Hochschule für angewandte Wissenschaften
Dermatological practice  Braunschweig Germany,Technische Universität Braunschweig
Dermatological practice  Hildesheim Germany,Stiftung Universität Hildesheim
"Dermatologie, Hannover Medical School, Hannover, Allemagne",Medizinische Hochschule Hannover (MHH)
"Dermatologie, Venerologie und Allergologie, Helios Klinikum Hildesheim, Senator-Braun-Allee 33, 31135, Hildesheim, Deutschland. elisabeth.oms@helios-gesundheit.de",Stiftung Universität Hildesheim
Dermatology practice  Oldenburg Germany,Carl von Ossietzky Universität Oldenburg
Dermatology practice Oldenburg Germany,Carl von Ossietzky Universität Oldenburg
"Dermatology practice, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Dermatology, University, Göttingen, Germany",Universitätsmedizin Göttingen
"Deutsches Zentrum für Infektionsforschung, Standort Hannover-Braunschweig, Braunschweig, Deutschland",Technische Universität Braunschweig
"Diabetes Center auf der Bult, 30173 Hannover, Germany; Hannover Medical School, Hannover, Germany. Electronic address: danne@hka.de",Medizinische Hochschule Hannover (MHH)
"Diagnostisches Brustzentrum Göttingen, Göttingen, Deutschland. uwfisch@web.de",Georg-August-Universität Göttingen
"Digitalized Energy Systems Group, Carl von Ossietzky Universität Oldenburg, Ammerländer Heerstraße 114-118, Oldenburg, 26129, Lower Saxony, Germany",Carl von Ossietzky Universität Oldenburg
"Diocese of Osnabrück, 49074 Osnabrück, Germany",Universität Osnabrück
"District of Goslar, Department of Construction & Environment-Soil Protection and Waste Monitoring, Goslar, Germany",Technische Universität Clausthal
"District of Goslar, Department of Construction & Environment—Soil Protection and Waste Monitoring, Goslar, Germany",Technische Universität Clausthal
"District of Goslar, Department of Public Health Services, Goslar, Germany",Technische Universität Clausthal
"Division Quality of Plant Products, Department of Crop Sciences, University of Goettingen, Goettingen, Germany",Georg-August-Universität Göttingen
"Division of Cystic Fibrosis, Clinic Westbrandenburg, Potsdam, Germany. Carsten.Schwarz@klinikumwb.de",Carl von Ossietzky Universität Oldenburg
"Division of Gastroenterology Hepatology, University of Toronto, Hannover M5R 0A3, Canada",Gottfried Wilhelm Leibniz Universität Hannover
"Division of Gastroenterology, Hepatology and Endocrinology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Division of Geriatrics, University Medical Centre, Georg August University, Robert-Koch-Str. 40, 37075, Göttingen, Germany. christine.arnim@med.uni-goettingen.de",Universitätsmedizin Göttingen
"Division of Hematology and Medical Oncology, Department of Medicine, New York, USA. Hanna.Irie@mssm.edu",Medizinische Hochschule Hannover (MHH)
"Division of Molecular Infection Biology, Department of Biology University of Osnabrück  Osnabrück Germany",Hochschule Osnabrück
"Division of Molecular and Tanslational Cardiology, Department of Cardiology and Angiology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Division of Nephrology and Hypertension, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Division of Pediatric Hematology and Oncology Department of Pediatrics Universities of Medical University Hannover Hannover Germany,Medizinische Hochschule Hannover (MHH)
"Division of Pediatric Hematology and Oncology, Department of Pediatrics, Universities of Medical University Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Division of Pediatric Hematology and Oncology, University Medical Center Göttingen, Göttingen",Universitätsmedizin Göttingen
"Division of Perioperative Inflammation and Infection, Faculty of Medicine and Health Sciences, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Division of Respiratory Medicine and German Center for Lung Research, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Docteure en Sciences de l’éducation au LISEC à l’université de Lorraine. Ses recherches sur les étudiants handicapés et les pratiques universitaires croisent la sociologie de l’enseignement supérieur et la sociologie du handicap,Gottfried Wilhelm Leibniz Universität Hannover
Doctorate at Universidade Tecnológica de Braunschweig,Technische Universität Braunschweig
Dr. St. Oelschig (Osnabrück) und Herrn Prof. Dr. St,Hochschule Osnabrück
"Dr. Stephan Goldschmidt, Pastor, arbeitet als Theologischer Referent im 						Sprengel Hildesheim-Göttingen; an der Stiftungsuniversität Hildesheim hat 						er einen Lehrauftrag für Praktische Theologie inne",Stiftung Universität Hildesheim
Dr. Thomas Ehlert ist Pfarrer der Evangelisch-Lutherischen Kirche in 						Oldenburg und arbeitet in Berne,Carl von Ossietzky Universität Oldenburg
"Dr. med., PD und MHPE, PhD, Leitende Ärztin in der Allgemeinen Pädiatrie, Universitätsspital Genf (HUG); Fakultätsmitglied, Abteilung für Entwicklung und Forschung in der medizinischen Bildung (UDREM), Universität Genf,",Georg-August-Universität Göttingen
"Dres. Pourfard/Heuse/von Kopylow/, Gemeinschaftspraxis Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Drittes Physikalisches Institut – Biophysik, Biophysik, Georg-August-Universität, Friedrich-Hund-Platz 1, D-37077, Göttingen, Germany",Georg-August-Universität Göttingen
"Drittes Physikalisches Institut, Universität Göttingen, Friedrich-Hund-Platz 1, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
E-mail: lsbssm@hanmail.net),Gottfried Wilhelm Leibniz Universität Hannover
EL INFIERNO DE BYUNG-CHUL HAN,Stiftung Tierärztliche Hochschule Hannover
"ENT Practice Emden, Emden, Germany",Hochschule Emden/Leer
